Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
0,0.2509459,-0.2747676,0.2215545,-0.3716461,0.3461154,0.8569804
0,0.2509459,-0.2747676,0.2215545,-0.3716461,0.3461154,0.8569804
0.002509117,0.3126058,-0.3947096,0.09940146,-0.3682816,0.3510009,0.8531353
0.005019188,0.2509459,-0.1548255,0.160478,-0.3697195,0.3451575,0.8535731
0.007528305,0.3126058,-0.1548255,0.160478,-0.3716875,0.3490461,0.8521766
0.010037899,0.189286,-0.2147966,0.160478,-0.3677949,0.3519742,0.8536242
0.012547016,0.1276261,-0.1548255,0.2826311,-0.3687623,0.3471102,0.8521347
0.015056133,0.3126058,0.02508752,0.2215545,-0.3692678,0.3490592,0.8502246
0.017565727,0.3126058,-0.2147966,0.2826311,-0.3701959,0.3480673,0.8565047
0.020074844,0.189286,-0.2147966,0.09940146,-0.3687248,0.3495255,0.8589236
0.022584438,0.2509459,0.08505853,0.09940146,-0.3667793,0.3456453,0.8569375
0.025093555,0.3126058,-0.09485453,0.160478,-0.3692318,0.3427294,0.8525791
0.027603149,0.3126058,-0.2147966,0.09940146,-0.3721518,0.3470927,0.8545776
0.030112267,0.189286,0.02508752,-0.02275162,-0.3726288,0.3461157,0.8555384
0.032622337,-0.05735363,0.02508752,0.2215545,-0.3741183,0.3504947,0.8531764
0.035131454,0.06596617,-0.09485453,0.160478,-0.3741043,0.3470885,0.8536265
0.037641048,0.189286,-0.2147966,0.160478,-0.3711998,0.346618,0.8511826
0.040150166,0.3126058,0.02508752,0.03832492,-0.3731348,0.3451496,0.8521502
0.042659283,0.3126058,0.02508752,0.2826311,-0.3687431,0.3461313,0.8545414
0.045168877,0.3742657,0.08505853,0.2215545,-0.3716414,0.3456277,0.8574589
0.047677994,0.3742657,0.08505853,0.160478,-0.3702105,0.3475869,0.8540838
0.050187588,0.3742657,0.08505853,0.2215545,-0.3716512,0.3446597,0.8555166
0.052696705,0.3126058,-0.1548255,0.2826311,-0.3687558,0.3471078,0.8531012
0.055206299,0.189286,-0.0348835,0.160478,-0.3702155,0.3461312,0.8526199
0.057715416,0.3742657,0.2050006,0.09940146,-0.3721524,0.3534091,0.8575385
0.060224533,0.3126058,0.02508752,0.160478,-0.3692419,0.3500211,0.8545831
0.062734127,0.3126058,0.08505853,0.2215545,-0.3711801,0.3485541,0.8550674
0.065243244,0.189286,0.08505853,0.2215545,-0.3707169,0.3539089,0.8541493
0.067753315,0.3126058,-0.09485453,0.160478,-0.3721624,0.3514694,0.8551035
0.070262432,0.4975855,-0.09485453,-0.02275162,-0.3726225,0.3451416,0.8560121
0.072772026,0.3126058,0.08505853,-0.02275162,-0.3701796,0.3490329,0.8594136
0.075281143,0.2509459,0.1450296,-0.02275162,-0.3687469,0.3524489,0.8570191
0.077790737,0.4359255,0.3249426,0.03832492,-0.3702091,0.3461288,0.8535864
0.080299854,0.4359255,-0.09485453,0.160478,-0.3736276,0.3461221,0.8516803
0.082809925,0.3742657,0.08505853,-0.08382816,-0.3750643,0.348052,0.8560597
0.085318565,0.3126058,0.2050006,0.03832492,-0.3735968,0.3475681,0.8570099
0.087827683,0.3126058,-0.1548255,0.160478,-0.3745987,0.3485474,0.8531613
0.090337276,0.2509459,-0.1548255,-0.02275162,-0.3692626,0.3514865,0.8521812
0.092846394,0.3126058,-0.09485453,0.03832492,-0.3711944,0.350017,0.853632
0.095355988,0.2509459,-0.0348835,0.09940146,-0.3755608,0.3461107,0.8536285
0.097865582,0.189286,0.02508752,0.09940146,-0.3706795,0.3461211,0.8560063
0.100375175,0.2509459,0.1450296,0.03832492,-0.3677714,0.3475927,0.8550311
0.102884293,0.189286,0.1450296,-0.02275162,-0.3707036,0.346616,0.8526285
0.105393887,0.2509459,0.1450296,0.03832492,-0.3712016,0.3451611,0.850202
0.107903004,0.3126058,0.1450296,-0.1449047,-0.3726723,0.3466179,0.8492612
0.110412598,0.3742657,-0.1548255,0.160478,-0.3711849,0.3490417,0.8545889
