Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
0,-0.1428319,-0.7708032,-0.2320606,-0.4937814,0.2420433,0.8312204
0.007531643,0.04228127,-0.7108852,-0.1710764,-0.4918555,0.2376524,0.8331317
0.007531643,0.04228127,-0.7108852,-0.1710764,-0.4918555,0.2376524,0.8331317
0.010042191,0.1039857,-0.8307213,-0.2930447,-0.492319,0.2425327,0.8365696
0.012552738,0.1039857,-0.6509671,-0.1100923,-0.4903614,0.2425133,0.8351133
0.015063286,-0.08112751,-0.6509671,-0.1100923,-0.4869734,0.2381199,0.8404264
0.020084858,-0.01942312,-0.531131,-0.1100923,-0.4889467,0.2347218,0.8379698
0.020084858,-0.01942312,-0.531131,-0.1100923,-0.4889467,0.2347218,0.8379698
0.022595406,0.1039857,-0.4712129,-0.1710764,-0.4864992,0.2351891,0.8379751
0.025105953,0.1039857,-0.4112948,0.01187601,-0.4913605,0.2396071,0.8375196
0.027616024,0.2273944,-0.591049,0.07286017,-0.4918501,0.2396123,0.8380051
0.030126572,0.1039857,-0.6509671,-0.1710764,-0.4894356,0.2347256,0.8379694
0.032637119,-0.01942312,-0.591049,-0.04910814,-0.4903684,0.2410492,0.8336446
0.035148144,0.2890988,-0.591049,0.01187601,-0.4908683,0.2395968,0.8350907
0.037658691,0.5359164,-0.6509671,0.07286017,-0.4938084,0.2386478,0.8355671
0.040169239,0.474212,-0.8307213,0.01187601,-0.4889324,0.2371567,0.8384743
0.042679787,0.474212,-0.7708032,0.01187601,-0.4854618,0.243439,0.831723
0.045190811,0.2890988,-0.7108852,0.01187601,-0.4849845,0.2419801,0.8336555
0.047700405,0.1039857,-0.3513767,-0.04910814,-0.485997,0.2371296,0.8370186
0.050211906,0.16569,-0.4712129,0.01187601,-0.4908773,0.2391217,0.8394596
0.052721977,0.3508032,-0.591049,0.07286017,-0.4908452,0.2439851,0.8380393
0.055232525,0.474212,-0.7108852,0.01187601,-0.4899028,0.2391204,0.8418896
0.057743073,0.474212,-0.7108852,0.07286017,-0.4923319,0.2410802,0.8394735
0.060254097,0.474212,-0.591049,0.07286017,-0.4918511,0.2391217,0.8365438
0.062764645,0.5359164,-0.6509671,-0.04910814,-0.4845009,0.2429717,0.8419229
0.065275192,0.3508032,-0.4712129,-0.04910814,-0.4859779,0.2405406,0.8385023
0.067785263,0.16569,-0.7108852,-0.1710764,-0.4869562,0.2390713,0.8321743
0.070295811,0.2890988,-0.7108852,0.07286017,-0.4898628,0.2439683,0.834639
0.072806358,0.4125076,-0.4112948,0.07286017,-0.4937973,0.2410892,0.8385009
